;Исполнитель;Группа тем;Текст инцидента;Тема;num_ner
538;Город Пермь;Памятники и объекты культурного наследия;"'Прогуливался недавно по центру исторической Перми, навестил многострадальный дом Третьяковой, что на Советской 32 и увидел вот такую картину: фото № 1. Непонятно то ли и вправду ООО ""Пермстроймет"" (фото № 2) медленно но верно, начинает реставрацию фасада здания, то ли просто накрыли, чтобы памятник старины ""глаза не мозолил"" своим видом.<br>Хотелось бы, чтоб первый вариант оказался ближе к истине. Это же не просто ""старый дом"", а здание, в котором жила семья одного из основателей ПГНИУ, профессора А. Г. Генкеля. Здесь же проживал фотограф и художник Александр Родченко. Почему мы не организовать в этом здании музей, после реставрации и не повесить памятные таблички о его знаменитых постояльцах?<br>Дом Третьяковой относится к ОКН. Но увы, присутствие исторических зданий в реестре объектов культурного наследия, далеко не всегда служит гарантом своевременной реставрации или ремонта фасада. Вспомним печальные судьбы домов Уездного земства, Грацинского, падающих арок на Сибирской улице. И это еще я молчу про дореволюционные здания, до сих пор не признанные вновь выявленными объектами культурного наследия. Те же дом с мезонином А. Н. Четина и дом мещан Лихачевых. Что с ними станет в будущем нетрудно догадаться.";Памятники и объекты культурного наследия;11
870;Город Пермь;ЖКХ;"'Здравствуйте. Мы жители Индустриального района г. Перми. Проживаем на улице Промышленная 110, 111, 113 (многоквартирные дома).<br>Помогите нам пожалуйста с решением наших проблем.<br>У нас сняли гидроизоляцию на трубах отопления, трубы находятся на улице, соответственно и греют они улицу. Обращалась в службу ПАО “ Т Плюс “. Мои заявки под номерами “79782“;“80570“ и “80994” до сих пор не решены, они грубо с нами обращаются и говорят, чтобы мы звонили в Администрацию Индустриального района.<br>Я неоднократно звонила по номерам телефонов:<br>227-91-90 Светлане Анатольевне ; 212-14-39 Марине Анатольевне.<br>Также я звонила по этим номерам :<br>227-94-14 ; 246-04-00 ; 241-00-28 ; 227-92-20 ; 290-05-17 ; 212-69-76 ; 227-93-34.<br>В итоге никакого результата нет, такое ощущение, что просто хотят, чтобы мы здесь замёрзли.<br>Мало того, у нас нет горячей воды больше 10 лет, газ привозной в баллонах за окном в ящиках, а у кого-то даже в самой квартире.<br>Ещё есть проблемы с электричеством. На каком основании светофор и здание с множеством организаций внутри (Промышленная 110) подключены к нашему дому (электрощит у нас на чердаке во втором подъезде)?<br>Проблемы с канализацией. Я проживаю здесь с 1995 года. Раньше этим всем “хозяйством” занимался Тепличный комбинат. В этом же 1995 году нас должен был выселить ПНОС “Лукойл“. Помните наверно, было выселение, это промышленная зона, каждую ночь сейчас нас травят, хоть и говорят, что у них выбросов нет, это не правда.<br>Первомайский посёлок выселили, а про Тепличный комбинат забыли.<br>ООО “УК Десница” +7(902)-793-70-67 Герман Анатольевич. Являются нашей управляющей компанией, но помощи мы от них никакой не получаем.<br>Курицына Лариса Николаевна.<br>Контакт: +7 (992)-204-19-76";Ненадлежащее качество или отсутствие отопления;13
1126;ИГЖН ПК;ЖКХ;'Добрый день,вопрос ИГЖН Пермкого края почему УК ДСТ П предлагает закрываться,ставят калитки,заборы при этом про противопожарную ситуацию не задумывается, УК хочет закрывать проезд общего пользования между домами Вавилова 5 и Малкова 4 выдав жильцам только одного дома Малкова 4 бюллетень для голосования.<br>Вопрос МЧС и ИГЖН Пермкого края как предотвратить, приостановить беспридел,<br>Колитки, заборы,почему УК не думает о пожарной ситуации и о ЖИЛЬЦАХ домов?<br>Можно или нет по закону городить заборы,калитки? Жду ответа?;Жалобы на управляющие компании;11
1913;Город Пермь;Памятники и объекты культурного наследия;'Посмотрите, в каком состоянии сейчас находится памятник погибшим в Великую Отечественную войну работникам Молотовского паровозоремонтного завода, который расположен на территории завода Шпагина (социокультурное пространство в историческом центре Перми). За три года, как администрация Пермского края выкупила территорию завода, этот памятник ни разу не был покрашен.<br>В проведение фестивалей<br>(Арт-фестиваль «12», RED Market, Майями фест, Дягилевский фестиваль и «Дягилев+», «Сорняки прекрасные», фестиваль электронной музыки и визуального искусства Efest, «Осенний блюз», СНЕГОWEEK, SWEETLAND),<br>чем так любит гордится руководство завода Шпагина, вливаются большие бюджетные средства, но не нашлось денег на ведёрко белой краски и банку чёрной. Это позор, ПОЗОРИЩЕ всему, так называемому социокультурному пространству!!!<br>У нас в группе есть люди, которые проводят экскурсии по заводу Шпагина и, наверное, подводя людей к этому памятнику, что-то рассказывают о погибших защитниках Родины - бывших работниках завода... Обращаемся к этим людям с просьбой намекнуть руководству, что не плохо было бы содержать этот памятник в должном состоянии.<br>А также просим журналистов, задать вопросы администрации завода Шпагина и администрации губернатора о дальнейшей судьбе этого памятника.<br>На втором фото пример, как выглядел памятник ещё несколько лет назад, когда работал Пермский мотовозоремонтный завод.<br>#пмрз #шпагина #мотовозоремонтный #историяперми #ржд #жд #ремпутьмаш #заводшпагина;Памятники и объекты культурного наследия;12
2146;Министерство здравоохранения;Здравоохранение/Медицина;'Здравствуйте, я проживаю в г. Чусовом. У меня такой вопрос как быть и что делать, сколько ещё это будут тянуть? Моя мама пенсионерка Русских. Н. Н. уже 3 месяца ходит по врачам и не как не могут прийти к одному концу. Сначала она обратилась к отоларингологу Родионова. Н. Н посмотрев её направили в Пермь на консультацию, там сказали что это не к ним, а к стоматологу. Придя на приём к стоматологу он написал какие нужно сдать анализы, и что пройти. Мама записалась к Онкологу Кубов. Н. С. посмотрел и направил в Пермь. Снова едет в Пермь там врач посмотрел, поставил диагноз и отправил обратно. Мама снова идёт к стоматологу с результатами анализов, он их отправляет в Пермь. Мама снова идёт к стоматологу приходит ответ что ей ещё нужно пройти гинеколога и у терапевта взять что есть прививки и снова к Онкологу, что она может вас принять без очереди. Мама идёт к Онкологу эта Королёва. Л. Б.она не в какую не приняла без записи хотя у неё никого не было на приёме. Записывайтесь и приходите она сказала, а у неё запись только на17 ноября. Записались к Кубову на 11 ноября, чтобы взять анализ на биопсию. Что дальше ждать сколько это будет продолжаться. У меня так папу с диагнозом рак лёгких год назад гоняли туда-сюда и что в итоге нет теперь его. А потом говорят почему раньше не пришли. Вот обратились раньше и что третий месяц и не к чему не пришли!?!;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;14
2476;Министерство здравоохранения;Здравоохранение/Медицина;'> Добрый день.<br>Я желаю, чтоб министерство здравоохранения обратило внимание на поликлинику 4 на транспортной 27 в г.Пермь и на Клинический фтизиопульмонологический медицинский центр по адресу Шоссе Космонавтов 160/1 в г.Пермь.<br>Рассказываю подробно:<br>Я, Александра 20.04. 1983г.р заболела в конце мая этого года. Началось все с указательного пальца на руке, я его поранила и когда рана затянулась, там видимо , что то осталось , потому что он очень сильно отёк и был гиперемирован. Я обратилась к хирургу Соложенниковой Е.А примерно 27 мая, но мне отказались вскрывать его, сказали , чтоб я дома делала спиртовые примочки.<br>Я послушала и ушла домой выполнять все назначения доктора, но лучше не становилось. По итогу придя в очередной раз 06.06. мне его вскрыли, поставили дренаж и назначили Цифран. Лечение выполнялось дома, но температура все равно держалась около 37-38C.<br>Наблюдая за пальцем я не увидела улучшений , потому что отёк и температура так и не прошли. Я уже опустила руки и смирилась с этим.<br>2 июля у меня поднялась температура к 39С , я её сбила, и температура так поднималась каждый день, понимая, что то не так опять записалась на приём в поликлинику на транспортную 27 к Чирковой Е.В, свободное окошко было только на 11.07. Сходив на приём к данному доктору, она мне поставила диагноз Трахеит и прописала опять антибиотики, перед этим врач послушала мои лёгкие, сказала , что в лёгких хрипы и даже не назначила снимок лёгких, просто взяла мазок на ковид и отправила домой лечится антибиотиками , мазок на ковид был отрицательный.<br>Я опять , как послушная пациентка ушла домой выполнять все назначения доктора Чирковой , пропив антибиотики, состояние мое ухудшилось, температура каждый день была 39С , я уже начала бредить, тогда мои родные решили, что нужно вызывать скорую помощь.<br>18.07 я попала в Городскую клиническую больницу №2 им. Ф.Х. Граля, в пульмонологическое отделение, на рентгене легких диагносцировали внебольничную двухсторонню пневмонию 19.07 у меня развилась сильная головная боль и частая рвота, мне провели пункцию спиномозговой жидкости, т.к заподозрили менингит. Провели Кт головного мозга и осмотрели все врачи, в том числе и фтизиатор и всем консилиумом они поставили предварительный диагноз Генерализованный туберкулёз диссименированный туберкулёз лёгких в фазе инфильтрации, Вторичный гнойный менингит (туберкулезный) и перенаправили на лечение в Клинический фтизиопульмонологический медицинский центр по улице Шоссе Космонавтов 160/1 в г.Пермь. Попала я туда 22.07, поместили меня в палату и закрыли на замок, санитарка сказала , что сейчас придёт и поможет расправить койку, т.к состояние было у меня удовлетворительное.<br>В итоге я целый час просидела на стуле с сильной головной болью, с температурой 39С , с тошнотой и ждала, что хоть кто-нибудь подойдёт и поможет , встала и сама все расправила и плюхнулась от бессилия на кровать , на связь Я с родными на связь выходила редко, т.к было очень плохо. С того времени с 22.07 ко мне так и ни кто не приходил и до сих пор даже не было лечащего врача, сегодня уже 27.07 . Заходят только медицинские сестры , ставят капельницы и даже не переставляют, если капельниц несколько, и не убирают их. Вот так сижу под замком в больнице в 21 век и ко мне не идёт медицинский персонал, не интересуются моим самочувствием. Даже врача я не разу не видела в лицо.<br>А когда ко мне приезжали родные , чтобы передать лекарства , 24.07 , были свидетелями , что санитарки , а может там и были мед. сестры, распивали алкоголь. Сейчас у меня врач Марина Васильевна, фамилию я к сожалению не знаю, врач ведёт 4 отделение , я нахожусь в 19 палате.<br>Я хочу попросить проверить поликлинику 4 на Транспортной 27 , именно врача Чиркову Е.В которая меня не направила на дополнительную диагностику, и Клинический фтизиопульмонологический медицинский центр!;Ошибки врачей, халатность;16
2835;Город Пермь;ЖКХ;"'Добрый день! По адресу ул. Клименко, д. 24А с 11.08.2022 по неизвестным жителям причинам в многоквартирном доме отсутствует горячая вода. Управляющей организацией МКД является ФКУ ""СИЗО-1"" и оплата за ГВС поступает им. Объявление на дверях было размещено только 29.08.2022, о том чтобы по вопросу ГВС жители дома обращались в Т+Пермь Энергосбыт, которые в свою очередь перенаправляют в администрацию Ленинского района г. Перми. Администрация пояснений также не дает. 31.08.2022 я обратилась в ИГЖН Пермского края, которые дали ответ: ""Добрый день. Ответ подготовила администрация Ленинского района. Тепловая сеть до ул. Клименко 24а является бесхозяйным обьектом, закреплена для обслуживания за муниципальным учреждением «Городская коммунальная служба». 11 августа в администрацию Ленинского района поступила информация о наличии дефекта на этой тепловой сети, в адрес учреждения «Городская коммунальная служба» направлено письмо о необходимости устранения дефекта. Подрядная организация вышла на работу, к сожалению, долгая продолжительность связана с уточнением места дефекта. В подобных ситуациях необходимо обращаться в учреждение «Городская коммунальная служба»:236-78-38"". На 13.09.2022 ситуация с горячей водой не поменялась, МКД более месяца находится без горячей воды. Прошу помочь в решении данной проблемы.";Отсутствие горячей воды;14
3590;Губахинский городской округ;Связь и телевидение;'Душанбе в Таджикистане- исправьте )))<br>> ['✈️Губахинцы и гремячинцы, хорошие полетные новости! В Прикамье появятся девять новых направлений авиаперевозок по России.\n\nГубернатор Дмитрий Махонин и аэропорт «Большое Савино» подписали соглашение с авиакомпаниями «Северный Ветер» (Nordwind Airlines) и «Икар» по развитию регулярных региональных и международных воздушных перевозок из Пермского края.\n\n✅«Северный Ветер» уже начал выполнять перелеты до Душанбе (Азербайджан). Появятся новые субсидированные рейсы до Барнаула и Владикавказа. Перелеты в Астрахань, Калининград, Омск, Челябинск, Нижний Новгород и Волгоград возобновятся в конце июля – начале августа, чуть позже — в Мурманск. Ознакомиться подробнее с расписанием можно на сайте аэропорта https://aviaperm.ru\n\nПланируется, что часть парка воздушных судов обеих авиакомпаний будет базироваться в Перми. Это позволит обслуживать большее количество рейсов, а в перспективе скорректировать расписание для удобства пассажиров.'];★ Информационно-техническая поддержка;21
3591;Министерство здравоохранения;Здравоохранение/Медицина;'Вчера писали про большие очереди в больнице. Дак вот эта очередь в поликлинику 21, больные стоят на улице<br>P.S.<br>В Пермском крае с 27 января начали работать 62 амбулаторных центра, предназначенных для диагностики и лечения пациентов с ОРВИ и коронавирусом. Обращаться в «ковидные центры» нужно пациентам при температуре до 38 градусов и других симптомах простуды: насморке, боли в горле, кашле, головной боли. Врачи делают заболевшим необходимые анализы, а при наличии показаний пациентам выдают лекарства и оформляют больничный лист<br>В Перми АКДЦ для взрослых расположены по адресам:<br>ул. 1-й Бойный переулок, 9<br>ул. Братьев Игнатовых, 3<br>ул. Василия Каменского, 1<br>ул. Екатерининская, 224<br>ул. Качканарская, 47<br>ул. КИМ, 64<br>ул. Крупской, 57а<br>ул. Куйбышева, 111<br>ул. Липатова, 19<br>ул. Матросова, 4<br>ул. Постаногова, 7<br>ул. Репина, 21<br>ул. Серпуховская, 11а<br>ул. Торговая, 5<br>ул. Хабаровская, 56.;Очередь;13
3615;Город Пермь;Дороги;'Здравствуйте!<br>Ввиду того, что на мосту Камской ГЭС ведутся ремонтные работы, жители Перми испытывают постоянные проблемы с передвижением по Орджоникидзевскому району в сторону центра города и обратно (автомобильные пробки, время в пути увеличивается вдвое, а то и втрое, невозможно планировать время прибытия транспорта).<br>Собирается ли администрация города Перми предпринять следующие меры по улучшению ситуации и предотвращению транспортного коллапса в этом отдалённом районе города:<br>1) Сделать дополнительную остановку челночных электричек Левшино-Кабельная на ст.Молодежной (в 90-е годы это было возможным).<br>2) Ограничить движение личного легкового транспорта по мосту КамГЭС в «часы пик», например, с 6:00 до 8:00 и с 17:00 до 19:00. Оставить только общественный транспорт в это время, чтобы люди могли ездить на работу и с работы.<br>3) Увеличить количество «челночных электричек» утром и вечером.<br>4) Сделать бесплатной пересадку с автобуса на электричку (на станциях Левшино и Молодёжная), а с электрички на сокращённые гайвинские маршруты (73К и 44), так как это вынужденная мера для пассажиров, которая причиняет им неудобства и ухудшает их материальное положение (за проезд приходится переплачивать втрое).<br>5) Продумать возможность создания временной дополнительной остановки автобусов после моста КамГЭС в сторону Молодежной, для тех, что переходит мост пешком, чтобы не стоять в пробке с Гайвы до моста.<br>Пожалуйста, рассмотрите все возможные варианты облегчения ситуации с транспортом, так как ремонтные работы планируются на все лето.;Пробки;11
