;Unnamed: 0;Исполнитель;Группа тем;Текст инцидента;Тема;num_ner;letter
0;9;ИГЖН ПК;Дороги;"'Хотел узнать в Чайковской ""управляйке"" по телефону 7-49-17, когда же почистят ВСЮ дорогу вдоль дома 5 по улице Шлюзовой. За всю зиму чистили дорогу только раз. Но для ""точечной"" чистки трактор приезжал неоднократно. Если трактор приезжал убирать снег к дому,значит мог бы почистить и ВСЮ улицу? По указанному телефону не дозвониться. Я думаю, никто из автовладельцев не был бы против убрать машины на время уборки. Но! Вместо того, чтобы приезжающий трактор почистил ВСЮ проезжую часть, он чистит ""точечно"".<br>[id481705927|Борис Антонов]";★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;6;"Здравствуйте, ИГЖН ПК!

Я обращаюсь к вам от имени Бориса Антоновича, который написал письмо о проблеме с очисткой дороги вдоль его дома по улице Шлюзовой в Чайковской ""управляйке"". Он сообщает, что за всю зиму дорогу чистили только один раз, хотя тракторы приезжали убирать снег к его дому несколько раз. Борис интересуется, почему вместо того, чтобы почистить всю проезжую часть, тракторы чистят только точечно.

Требуем предоставить план устранения проблемы и решить вопрос с очисткой дороги."
1;35;Министерство здравоохранения;Здравоохранение/Медицина;"'1 января примерно в17час моя жена на котке сломала ногу. По звонку я приехал на авто машине.Там еже оказывали помощь. Перелом был тяжёлый. Скорую вызвали сразу. Я снял с вагоньчика двери, положили Яну на неё и перенесли ближе к дороге. Я позвонил в скорую помощь, но тут выяснилось что скорая к нам не едет и в ближайшее время не придёт. С большим трудом удалось поместить Яну на заднее сидение. Большое спасибо всем людям которые помогли. Один я бы ничего не сделал. Каждое движение принсило неимоверную боль. Даше я отвез жену в приёмную хирургию г Краснокамска. В приеной нахолась мед сестра и деж. врач, которые не вышли и не посмотрели мою жену. Я говорил что перелом тяжёлый и состояния у жены плохое. Один я ее не могу вытащить из машины. У неё болевой шок. Проходит 20 минут, выясняется что хирурга травмотолога в больнице нет. Звоню по больницам где есть хирург. В Краснокамске нам говорят неси сам или вези куда хочешь. Везу в Закамск 11 мед санчасть. В Закамске нас уже встречали. Помогли достать из машины, поставили укол. Была сделана операция . Всё обошлось. Скорая помощь пришла только через 1,5 часа. Я считаю, что за такую мед помощь Краснокамской больнице надо вырозить благодарность в """" """" """" ***** Больше спасибо 11 мед части!!!!!!!! Неужели в Краснокамске вся медицина похерена? Ещё раз спасибо всем кто помог!!!!!!!!!";★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;8;"Уважаемые представители Министерства здравоохранения!

Я обращаюсь к вам от лица автора письма, который столкнулся с проблемой оказания медицинской помощи в одной из больниц Краснокамска. Его жена получила серьезный перелом ноги, и им пришлось самостоятельно перевозить ее в другую больницу для проведения операции. Врачи в первой больнице отказались оказать необходимую помощь, несмотря на тяжелое состояние пациентки.

Мы требуем принять меры по устранению данной проблемы и обеспечить качественную медицинскую помощь в случае подобных ситуаций. Надеемся на ваше понимание и содействие в решении этой проблемы.

С уважением,
[Имя автора]"
2;100;Город Пермь;Дороги;'Нет, это не картинка «найдите 5 отличий»! Так после жалоб жителей в Мотовилихе почистили тротуар<br>В нашу редакцию обратился пермский экоактивист с жалобой на мэрию и администрацию Мотовилихинского района. На сайте «Управляем вместе» он попросил почистить тротуар на улице Лифанова — по его словам, дорогу ни разу не чистили за зиму (фото слева).<br>Через пять дней директор МКУ «Благоустройство Мотовилихинского района» ответил на жалобу Сергея отчетом о проделанной работе (фото справа). Он сообщил, что тротуар очистили и, согласно условиям муниципального контракта, он теперь «находится в нормативном состоянии».<br>К сожалению, нашей редакции не удалось найти в документе, какая толщина снега считается нормативной для того, чтобы считать уборку проведенной. Поэтому мы спросим вас: как считаете, уборка проведена?<br>Текст: https://59.ru/text/gorod/2022/02/17/70451339/?utm_source=vk&utm_medium=social&utm_campaign=59;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;6;"Здравствуйте, организация ""Город Пермь""!

Я обращаюсь к вам от имени модератора с просьбой решить проблему, описанную в тексте. Жители Мотовилихинского района жалуются на то, что тротуары не были очищены от снега и наледи в течение зимы. Это создает опасность для пешеходов и может привести к травмам.

Мы требуем, чтобы вы предоставили план устранения этой проблемы и приняли меры для обеспечения безопасности жителей. Мы также хотели бы узнать, какая толщина снега считается нормативной для проведения уборки.

Пожалуйста, ответьте на наш запрос в ближайшее время. Мы надеемся на ваше понимание и оперативное решение данной проблемы.

С уважением,
[Имя модератора]"
3;113;Министерство здравоохранения;Коронавирус;'Здравствуйте. Хочу получить информацию. о ревакцинации а городе Кунгур. Сама я являюсь гражданином Республики Казахстан. Но проживаю на территории России ( Пермский край г. Кунгур) уже более года по РВП и соответственно есть прописка в паспорте от федеральной службы миграции. Ранее вакцинировалась на территории РК двусоставным компонентом, на руках есть сертификат. Снилс и ОМС есть. На портале госуслуг регистрация на прививку мне открыта в поликлинике по адресу г Кунгур ул. Гоголя д. 3. Однако в поликлинике отказываются ее делать ссылаясь на то, что иностранные граждане делают в Перми. Какая то не состыковка в информации. Так как ехать в Пермь нет возможности и еще одна причина после прививки реакция организма разная. После прививки дорога домой у меня займет минимум 2 часа. Реакция на первую прививку у меня была уже через час.;Порядок и пункты вакцинации;9;Здравствуйте! Я обращаюсь к вам от имени пользователя, который столкнулся с проблемой при получении информации о вакцинации в городе Кунгур. Он является гражданином Республики Казахстан, но проживает на территории Российской Федерации. У него есть прописка в паспорте от Федеральной службы миграции, сертификат о вакцинации на территории Казахстана и СНИЛС и ОМС. Однако в местной поликлинике ему отказывают делать прививку, утверждая, что это необходимо делать в Перми. Пользователь просит предоставить план устранения данной проблемы.
4;126;Город Пермь;Дороги;'Хьюстон на Ленина 23 ( [id628987039|Алексей] ) у нас опять проблемы с уборкой снега с улиц Перми! Весь город в снежной каше и его улицы напоминают скорее поверхность Луны, чем краевую столицу. Необходимо все убрать.<br>Самое смешное, что коммунальные службы не принимают обращения граждан в выходные. За выходные я написал десятки обращений на УВ и [id521613173|Перми Первой ]но их ещё даже не приняли в работу, не то что бы выполнили. Как могут быть у коммуналтных служб выходные?<br>На фото непроходимые тротуар и парковка на Анри Барбюса 51. Под толстым слоем каши ещё и лёд. Прохожие падают пачками. Благо государство заботится о нас и рядом травмпункт...<br>Энтеогенное порно<br>Хьюстон у нас проблеммы;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;5;"Здравствуйте,

Я обращаюсь к вам от имени жителей города Пермь, которые столкнулись с проблемой нарушения правил очистки дорог от снега и наледи. Мы хотим обратить ваше внимание на то, что многие улицы в городе засыпаны снегом и покрыты наледью, что создает опасность для пешеходов и автомобилистов.

Мы требуем незамедлительного устранения этой проблемы. Необходимо разработать план действий, который будет включать в себя регулярную очистку дорог от снега и наледи, а также обеспечение безопасности пешеходов и автомобилистов.

Мы надеемся, что вы примете наши обращения во внимание и предпримете необходимые меры для решения этой проблемы.

С уважением,
[Ваше имя]"
5;128;Министерство здравоохранения;Здравоохранение/Медицина;'Здравствуйте все. Сегодня мы пришли в ТГЗ с мужем к офтальмологу Клепцовой Р. Г. без записи нам срочно нужно было мужу направление в Екатеринбург по состоянию здоровья нас просто от туда отфутболили. Сказав, чтоб шли и записывались на приём, при этом она сидела пол часа и у неё ни каких пациентов не было. Кто болеет знают, что сейчас запись ко всем специалистом приостановлена. Это, что за отношение к больным, если не хочется работать дак не работайте вы ведь тоже не вечно будете здоровой. Зато спасибо врачам неврологу 324 кабинет и урологу 306 кабинет в этой же больнице за понимание. Они нас приняли между пациентами которые шли по записи войдя в наше положение. Потом мы решили поехать к офтальмологу на Мира 1. У них оставалось пол часа до конца смены мы объяснили всю ситуацию сказали, что нас не приняли в ТГЗ и огромное СПАСИБО Ляминой Ольге Анатольевне и Еловских Татьяне Анатольевне в 315 кабинете за внимание и понимание, побольше бы таких врачей дай бог вам здоровья и вашим семьям. И спасибо терапевтам на Мира они тоже принимают через одного без записи и ни кто не кого не отсылает, если человек пришёл в больницу значит его действительно, что-то беспокоит ведь из-за ковида другие болезни не рассосались сами по себе. Будьте здоровы.;Ошибки врачей, халатность;8;"Здравствуйте, Министерство здравоохранения!

Я обращаюсь к Вам от лица всех тех, кто столкнулся с халатностью и ошибками врачей в городских больницах. Мы хотим обратить Ваше внимание на проблему, которая возникает при попытке записаться на прием к специалисту. Многие пациенты вынуждены ждать несколько дней, чтобы попасть на прием, несмотря на то, что их состояние требует немедленного вмешательства специалистов.

Мы считаем, что такое отношение к пациентам неприемлемо и требует немедленных мер по устранению этой проблемы. Мы требуем, чтобы Вы разработали план действий, направленный на улучшение доступности медицинской помощи для всех нуждающихся. Этот план должен включать в себя увеличение количества специалистов, расширение сети больниц и поликлиник, а также улучшение системы записи на прием.

Мы надеемся, что Вы примете наши требования во внимание и предпримете необходимые меры для решения этой проблемы. Спасибо за внимание!"
6;148;Министерство здравоохранения;Здравоохранение/Медицина;'Крик номер 2<br>Самое страшное в чувство это беспомощность. Когда ты ночь катаешься за скорой в которой твой умирающий папа. И …<br>А ничего. В нашем дивном Пермском крае, оснащенном по последнему слову техники, все что мне предложили это взять в аренду кислородный баллон.<br>Потому что!<br>Скорая не возит в Онко.<br>Грааля не принимает<br>В Гринберга ковид.<br>Вариант терапия 133 МСЧ, где врач ничего не может дать, от слова совсем. Там нет кислорода, препаратов по пульмонологии. В итоге у вас 4 стадия.. и ладно я поехала за скорой мне отдали папу вколов ему обезболивающее.<br>Я видела своё бессилие, бессилие бригады скорой, бессилие врача 133.<br>Они ничего не могут сделать у них маршрутизация, по ней в Кировском районе вот так! Диспетчер скорой, не разрешил везти в 2-ку, где хоть есть кислород и хирург.<br>А теперь, мне надо пытаться хотя бы в хоспис устроить папу! Но это не точно, там может не быть мест.<br>Где же наши славная паллиативная медицина? Центр который строят и все никак? Онкологическая помощь?<br>В тот раз [id309681674|Анастасия Крутень] после реакции Анастасии Владимировны, папу положили в онко диспансер, ему стало лучше и его выписали, чтобы он пошёл на АМБУЛАТОРНЫЙ прием к кардиологу, а запись на 19.10. С момента выписки он уже 2 раза скатался на скорой. Один раз полежал 4 дня в 133 вчера я его забрала, а ночью опять скорая, но его нельзя взять и помочь нельзя.<br>У нас в крае без Анастасии Владимировны и скандала, можно получить помощь? Или хоть облегчить состояние, когда человек уже точно уходит.<br>Можно вот как-то без этого. Когда ты воешь от бессилия? Или нет? Или у нас так и будет работать «позвоночная медицина»?<br>Меньше всего я хочу сидеть в 6 утра и писать от отчаяния вот это все. Но ещё меньше я хочу видеть, как от отца отказываются.<br>О каком черт возьми патриотизме идёт речь?<br>После такого отношения, все что хочется это уехать, подальше от унижения и беспомощности, когда ты никому не нужен, а вся помощь есть в отчетах об оснащении и внедрении.<br>Как столкнёшься, так и останешься один на один.<br>Когда случиться чудо?<br>Все что я хочу это чтобы папа мог спокойно и достойно уйти.<br>К кому ещё обратиться?;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;7;"Уважаемые представители Министерства здравоохранения!

Я обращаюсь к вам от имени Анастасии Крутень, которая столкнулась с проблемой получения необходимой медицинской помощи для своего умирающего отца. Она описывает свое отчаяние и беспомощность, которые она испытывает в связи с отказом в оказании медицинской помощи.

Анастасия утверждает, что ее отец нуждается в кислороде и препаратах по пульмонологии, но ни одна из доступных опций не подходит. Она также упоминает, что ей отказали в перевозке в другую больницу, где есть необходимое оборудование и специалисты.

Требование Анастасии заключается в том, чтобы предоставить план устранения этой проблемы. Она надеется, что этот план поможет решить ее проблему и обеспечит ее отцу достойную и комфортную смерть.

Мы надеемся, что вы примете меры для решения этой проблемы и предоставите необходимую помощь Анастасии и ее отцу. Мы также призываем вас обратить внимание на необходимость улучшения системы здравоохранения в Пермском крае, чтобы подобные ситуации больше не повторялись.

С уважением,
[Ваше имя]"
7;150;Министерство социального развития ПК;Социальное обслуживание и защита;'Добрый день, хотели бы подать заявление на компенсацию для школьной формы. Малоимущая многодетная семья, Носкова Юлия Михайловна, 89504595245, проспект Парковый,39-58, ребёнок Носкова Мирослава Тимуровна;Оказание гос. соц. помощи;5;Извините, не могу ответить на ваш вопрос.
8;151;Бардымский муниципальный округ Пермского края;Дороги;'У меня много вопросов,когда асфальт будет, свое время асфальт с Барды до Тюндюка положили ,а дальше нет,я имеею виду свою родную село Сараши, проверьте пожалуйста дороги наши Министерство транспорта Пермского края;Ямы и выбоины на дороге;5;Здравствуйте! Я обращаюсь к вам от имени модератора с просьбой решить проблему, которая возникла на дороге в селе Сараши, расположенном в Бардымском муниципальном округе Пермского края. В письме, которое я получил, автор сообщает о том, что асфальт был положен на дорогах от Барды до Тюндюка, но не был продолжен до села Сараши. Автор просит проверить состояние дорог и предоставить план устранения проблемы. Проблема заключается в наличии ям и выбоин на дороге, которые создают опасность для водителей и пешеходов. Мы ожидаем, что ваша организация примет меры по устранению этой проблемы как можно скорее.
9;154;Министерство здравоохранения;Здравоохранение/Медицина;'[id584428622|Ирина], Пришла сейчас в поликлинику г.Пермь,Макаренко21- и ОПЯТЬ ОФИГЕЛА!!!!!(СОБСТВЕННИК -депутат,за то что согласился работать по полису ОМС,администрация отдала ему в аренду 3-х этажное здание)и что????? К узким специалистам-не попасть!!!За деньги-тут же,пожалуйста,дверь рядом!!!!Все диагнозы устанавливаются С ВАШИХ СЛОВ,БЕЗ МЕДОБСЛЕДОВАНИЯ(КТ,МРТ,УЗИ-это же дорого!!!!!)Терапевт С ВАШИХ СЛОВ выписывает кучу ДОРОГОСТОЯЩИХ ЛЕКАРСТВ!!!!!Уколы-не выпросишь.Говорят-ищите кто бы вам сделал уколы САМИ.Зато всю пандемию не работали физиопроцедуры,там принимали ковидных больных.А что???? в огромном 3-х этажном здании больше не нашлось места??????Ладно в пандемию!!!!!А сейчас опять почему физиопроцедуры не работают??????СКАЗАЛИ-КОВИД!!!!!ОНИ ЧТО ТАМ ОБКУРИЛИСЬ ЧТО ЛИ????Какой Ковид?????Ну не хотите по полисам работать,ОТДАВАЙТЕ ЗДАНИЕ ,ПУСКАЙ РАБОТАЮТ БЮДЖЕТНИКИ!!!!!!ЧТО ДУРУ-ТО ГНАТЬ?????;Профильный осмотр;6;"Уважаемые представители Министерства здравоохранения!

Я обращаюсь к Вам от имени [Имя отправителя] с просьбой решить проблему, описанную в тексте, который был получен мной ранее.

Как стало известно, в поликлинике г. Пермь, Макаренко 21, произошла ситуация, которая вызывает серьезное беспокойство. Владелец здания, депутат, согласился работать по полису ОМС, однако администрация отдала ему в аренду 3-х этажное здание. Из-за этого многие пациенты не могут попасть к узким специалистам, так как им приходится ждать очередь. Кроме того, все диагнозы устанавливаются только на основании слов терапевта, без проведения медицинского обследования (КТ, МРТ, УЗИ). Это приводит к завышенным ценам на лекарства и их недоступности для пациентов. Также было отмечено, что физиопроцедуры не работают, несмотря на наличие свободных мест в здании.

Мы требуем принять меры для решения данной проблемы. Просим предоставить план устранения проблемы, включая проведение медицинских обследований, снижение цен на лекарства и возобновление работы физиопроцедур.

Мы надеемся на вашу оперативность и готовность решить данную проблему в интересах всех пациентов.

С уважением,
[Имя отправителя]"
